periode_data,periode_pemantauan,bulan_sampling,wilayah,kecamatan,jenis_lokasi,lokasi_sampling,latitude,longitude,kelompok_parameter,parameter,baku_mutu,hasil_pengukuran,kondisi
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Total Coliform,0,727,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Temperatur,N/A,28.65,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Total Dissolve Solid,300,538.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Kekeruhan,3,11.89,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Warna,10,8.1,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,pH,N/A,7.875,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Nitrat (sebagai NO3) (terlarut),20,3.98,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Timur,Kramatjati,Sumur,Balekambang,-6.28175,106.85028,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Besi (Fe) (terlarut),0.2,0.045,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Mangan (Mn) terlarut,0.1,0.74,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Salinitas,N/A,0.05,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Oksigen terlarut (DO),4,3.85,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Daya Hantar Listrik,N/A,870.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,ORP*,N/A,-49.5,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Deterjen,0.05,0.0016,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Zat Organik (KMnO4),10,17.6,
,Periode 2 (Musim Kering),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131388889,106.8202778,,Air Raksa,N/A,0.0001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Kadmium,N/A,0.0004,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Timbal,N/A,0.0015,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,IP,N/A,11,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol,-6.131608,106.82029,,Status,N/A,berat,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Escherichia coli,0,0,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Total Coliform,0,44,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Temperatur,N/A,30.95,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Total Dissolve Solid,300,20850,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Kekeruhan,3,9.86,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Warna,10,5.99,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,pH,N/A,6.01,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Nitrat (sebagai NO3) (terlarut),20,3.27,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Selatan,Mampang Prapatan,Sumur,Bangka,-6.259194444,106.827,,Nitrit (sebagai NO2) (terlarut),3,0.0006,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Kromium valensi 6 (Cr6+) (terlarut),0.01,0.001,
,Periode 1 (Musim Hujan),,Kota Adm. Jakarta Utara,Pademangan,Sumur,Ancol 208,-6.12897,106.81189,,Besi (Fe) (terlarut),0.2,0.066,
