periode_data,wilayah,kecamatan,nama_lokasi,latitude,longitude,periode_pemantauan,parameter,baku_mutu,nilai
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Total Coliform",0,727
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Temperatur,N/A,28.65
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Total Dissolve Solid",300,538.5
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Kekeruhan,3,11.89
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Warna,10,8.1
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",pH,N/A,7.875
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Nitrat (sebagai NO3) (terlarut)",20,3.98
2024,"Kota Adm. Jakarta Timur",Kramatjati,Balekambang,-6.28175,106.85028,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.0006
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Besi (Fe) (terlarut)",0.2,0.045
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Mangan (Mn) terlarut",0.1,0.74
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Salinitas,N/A,0.05
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Oksigen terlarut (DO)",4,3.85
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Daya Hantar Listrik",N/A,870.5
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",ORP*,N/A,-49.5
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Deterjen,0.05,0.0016
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)","Zat Organik (KMnO4)",10,17.6
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131388889,106.8202778,"Periode 2 (Musim Kering)","Air Raksa",N/A,0.0001
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Kadmium,N/A,0.0004
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Timbal,N/A,0.0015
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",IP,N/A,11
2024,"Kota Adm. Jakarta Utara",Pademangan,Ancol,-6.131608,106.82029,"Periode 1 (Musim Hujan)",Status,N/A,berat
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Total Coliform",0,44
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Temperatur,N/A,30.95
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Total Dissolve Solid",300,20850
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Kekeruhan,3,9.86
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Warna,10,5.99
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",pH,N/A,6.01
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Nitrat (sebagai NO3) (terlarut)",20,3.27
2024,"Kota Adm. Jakarta Selatan","Mampang Prapatan",Bangka,-6.259194444,106.827,"Periode 1 (Musim Hujan)","Nitrit (sebagai NO2) (terlarut)",3,0.0006
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Kromium valensi 6 (Cr6+) (terlarut)",0.01,0.001
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Besi (Fe) (terlarut)",0.2,0.066
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Mangan (Mn) terlarut",0.1,0.7
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Salinitas,N/A,1.785
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Oksigen terlarut (DO)",4,4.55
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Daya Hantar Listrik",N/A,31150
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",ORP*,N/A,61
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Deterjen,0.05,0.043
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)","Zat Organik (KMnO4)",10,3.2
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 2 (Musim Kering)","Air Raksa",N/A,0.0001
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)",Kadmium,N/A,0.0004
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Timbal,N/A,0.0015
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",IP,N/A,7.5
2024,"Kota Adm. Jakarta Utara",Pademangan,"Ancol 208",-6.12897,106.81189,"Periode 1 (Musim Hujan)",Status,N/A,sedang
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)","Escherichia coli",0,0
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)","Total Coliform",0,1040
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)",Temperatur,N/A,29.45
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)","Total Dissolve Solid",300,1160
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)",Kekeruhan,3,17
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)",Warna,10,67.1
2024,"Kota Adm. Jakarta Barat",Tambora,Angke,-6.143691667,106.800125,"Periode 1 (Musim Hujan)",pH,N/A,8.2
