periode_data,periode_pemantauan,bulan_sampling,jenis_lokasi,lokasi_sampling,latitude,longitude,kelompok_parameter,parameter,baku_mutu,hasil_pengukuran,kondisi
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,Suhu,oC,29.2,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,Kecerahan,meter,4,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,Bau,N/A,alami,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,Kekeruhan,NTU,2.68,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,TSS,mg/L,"< 2.5",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,Sampah,N/A,N/A,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Fisik,"Lapisan Minyak",N/A,N/A,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,pH,N/A,7.91,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Salinitas,N/A,31.3,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,"Oksigen terlarut (DO)",mg/L,6.91,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,BOD5,mg/L,12.3,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,"Amonia total",mg/L,0.092,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Orto-fosfat,mg/L,0.0090,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Nitrat,mg/L,"< 0.05",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Sianida,mg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Sulfida,mg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,TPH,mg/L,"< 0.02",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,"Fenol Total",mg/L,"< 0.0008",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,PAH,mg/L,"< 0.0001",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,PCB,µg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Surfaktan,mg/L,0.049,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,"Minyak dan Lemak",mg/L,"< 1",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,BHC,µg/L,"< 0.4",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Aldrin/dieldrin,µg/L,"< 0.2",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Chlordane,µg/L,"< 0.2",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,DDT,µg/L,"< 0.04",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Heptachlor,µg/L,"< 0.04",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Lindane,µg/L,"< 0.2",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Methoxy-chlor,µg/L,"< 0.005",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Endrin,µg/L,"< 0.08",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,Toxaphan,µg/L,"< 0.1",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Kimia,TBT,µg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Air raksa (Hg)",mg/L,0.0005,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Kromium heksavalent (Cr(VI))",mg/L,"< 0.005",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Arsen (As)",mg/L,0.0020,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Kadmium (Cd)",mg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Tembaga (Cu)",mg/L,"< 0.005",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Timbal (Pb)",mg/L,0.0060,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Seng (Zn)",mg/L,0.018,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Logam Berat","Nikel (Ni)",mg/L,0.0030,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Biologi,"Fecal coliform","Jml/100 mL","< 1.1",Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Biologi,"Coliform (total)","Jml/100 mL",4,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Biologi,Salmonella,CFU/mL,0,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,Biologi,Fitoplankton,Sel/mL,5.8,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Indek Kualitas Air","Indeks Pencemaran (IP)",N/A,0.59,Baik
2024,"Periode 1",3,Teluk,A1,-5.994527768,106.7056944,"Indek Kualitas Air","Status Indeks (IP)",N/A,Baik,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,Suhu,oC,29.7,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,Kecerahan,meter,4,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,Bau,N/A,alami,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,Kekeruhan,NTU,2.72,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,TSS,mg/L,"< 2.5",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,Sampah,N/A,N/A,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Fisik,"Lapisan Minyak",N/A,N/A,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,pH,N/A,7.97,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Salinitas,N/A,31.6,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,"Oksigen terlarut (DO)",mg/L,6.71,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,BOD5,mg/L,7.94,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,"Amonia total",mg/L,"< 0.01",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Orto-fosfat,mg/L,0.0070,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Nitrat,mg/L,0.065,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Sianida,mg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Sulfida,mg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,TPH,mg/L,"< 0.02",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,"Fenol Total",mg/L,"< 0.0008",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,PAH,mg/L,"< 0.0001",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,PCB,µg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Surfaktan,mg/L,0.03,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,"Minyak dan Lemak",mg/L,"< 1",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,BHC,µg/L,"< 0.4",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Aldrin/dieldrin,µg/L,"< 0.2",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Chlordane,µg/L,"< 0.2",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,DDT,µg/L,"< 0.04",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Heptachlor,µg/L,"< 0.04",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Lindane,µg/L,"< 0.2",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Methoxy-chlor,µg/L,"< 0.005",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Endrin,µg/L,"< 0.08",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,Toxaphan,µg/L,"< 0.1",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,Kimia,TBT,µg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Air raksa (Hg)",mg/L,0.0007,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Kromium heksavalent (Cr(VI))",mg/L,"< 0.005",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Arsen (As)",mg/L,0.0018,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Kadmium (Cd)",mg/L,"< 0.001",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Tembaga (Cu)",mg/L,"< 0.005",Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Timbal (Pb)",mg/L,0.0030,Baik
2024,"Periode 1",3,Teluk,A2,-5.983527778,106.7473056,"Logam Berat","Seng (Zn)",mg/L,0.024,Baik
